127.0.0.1, 2011-10-30 02:30:44, GET, /w2cms/static/js/anytime.js, HTTP/1.1, 304, 0.001340
127.0.0.1, 2011-10-30 02:30:44, GET, /w2cms/static/css/anytime.css, HTTP/1.1, 304, 0.002182
127.0.0.1, 2011-10-30 02:30:44, GET, /w2cms/static/js/superfish.js, HTTP/1.1, 304, 0.000324
127.0.0.1, 2011-10-30 02:30:44, GET, /w2cms/static/js/web2py_ajax.js, HTTP/1.1, 304, 0.000301
127.0.0.1, 2011-10-30 02:30:44, GET, /w2cms/static/css/base.css, HTTP/1.1, 304, 0.001036
127.0.0.1, 2011-10-30 02:30:44, GET, /w2cms/static/js/jquery.js, HTTP/1.1, 304, 0.001215
127.0.0.1, 2011-10-30 02:30:44, GET, /w2cms/static/images/poweredby.png, HTTP/1.1, 304, 0.000419
127.0.0.1, 2011-10-30 02:30:44, GET, /w2cms/static/images/arrows-ffffff.png, HTTP/1.1, 304, 0.000406
127.0.0.1, 2011-10-30 02:30:44, GET, /w2cms/static/images/shadow.png, HTTP/1.1, 304, 0.000274
127.0.0.1, 2011-10-30 02:30:57, GET, /w2cms/default/index, HTTP/1.1, 200, 0.026814
127.0.0.1, 2011-10-30 02:30:57, GET, /w2cms/static/js/modernizr-1.7.min.js, HTTP/1.1, 304, 0.000858
127.0.0.1, 2011-10-30 02:30:57, GET, /w2cms/static/js/jquery.js, HTTP/1.1, 304, 0.001127
127.0.0.1, 2011-10-30 02:30:57, GET, /w2cms/static/css/handheld.css, HTTP/1.1, 304, 0.002187
127.0.0.1, 2011-10-30 02:30:57, GET, /w2cms/static/css/anytime.css, HTTP/1.1, 304, 0.000857
127.0.0.1, 2011-10-30 02:30:57, GET, /w2cms/static/js/anytime.js, HTTP/1.1, 304, 0.000715
127.0.0.1, 2011-10-30 02:30:57, GET, /w2cms/static/js/superfish.js, HTTP/1.1, 304, 0.000296
127.0.0.1, 2011-10-30 02:30:57, GET, /w2cms/static/css/superfish.css, HTTP/1.1, 304, 0.000291
127.0.0.1, 2011-10-30 02:30:57, GET, /w2cms/static/js/web2py_ajax.js, HTTP/1.1, 304, 0.001536
127.0.0.1, 2011-10-30 02:30:57, GET, /w2cms/static/css/base.css, HTTP/1.1, 304, 0.000379
127.0.0.1, 2011-10-30 02:30:57, GET, /w2cms/static/images/poweredby.png, HTTP/1.1, 304, 0.000407
127.0.0.1, 2011-10-30 02:30:57, GET, /w2cms/static/images/arrows-ffffff.png, HTTP/1.1, 304, 0.000409
127.0.0.1, 2011-10-30 02:30:57, GET, /w2cms/static/images/shadow.png, HTTP/1.1, 304, 0.000495
127.0.0.1, 2011-10-30 02:31:05, GET, /w2cms/default/index, HTTP/1.1, 200, 0.021166
127.0.0.1, 2011-10-30 02:31:05, GET, /w2cms/static/js/modernizr-1.7.min.js, HTTP/1.1, 304, 0.001238
127.0.0.1, 2011-10-30 02:31:05, GET, /w2cms/static/css/anytime.css, HTTP/1.1, 304, 0.000717
127.0.0.1, 2011-10-30 02:31:05, GET, /w2cms/static/js/jquery.js, HTTP/1.1, 304, 0.000393
127.0.0.1, 2011-10-30 02:31:05, GET, /w2cms/static/css/base.css, HTTP/1.1, 304, 0.001327
127.0.0.1, 2011-10-30 02:31:05, GET, /w2cms/static/js/superfish.js, HTTP/1.1, 304, 0.000549
127.0.0.1, 2011-10-30 02:31:05, GET, /w2cms/static/css/superfish.css, HTTP/1.1, 304, 0.002358
127.0.0.1, 2011-10-30 02:31:05, GET, /w2cms/static/js/anytime.js, HTTP/1.1, 304, 0.000410
127.0.0.1, 2011-10-30 02:31:05, GET, /w2cms/static/js/web2py_ajax.js, HTTP/1.1, 304, 0.000458
127.0.0.1, 2011-10-30 02:31:05, GET, /w2cms/static/css/handheld.css, HTTP/1.1, 304, 0.000406
127.0.0.1, 2011-10-30 02:31:05, GET, /w2cms/static/images/poweredby.png, HTTP/1.1, 304, 0.000591
127.0.0.1, 2011-10-30 02:42:03, GET, /w2cms/default/index, HTTP/1.1, 200, 0.048381
127.0.0.1, 2011-10-30 02:42:03, GET, /w2cms/static/css/handheld.css, HTTP/1.1, 304, 0.001168
127.0.0.1, 2011-10-30 02:42:03, GET, /w2cms/static/js/modernizr-1.7.min.js, HTTP/1.1, 304, 0.001065
127.0.0.1, 2011-10-30 02:42:03, GET, /w2cms/static/js/superfish.js, HTTP/1.1, 304, 0.000303
127.0.0.1, 2011-10-30 02:42:03, GET, /w2cms/static/js/jquery.js, HTTP/1.1, 304, 0.001768
127.0.0.1, 2011-10-30 02:42:03, GET, /w2cms/static/css/superfish.css, HTTP/1.1, 304, 0.002316
127.0.0.1, 2011-10-30 02:42:03, GET, /w2cms/static/css/anytime.css, HTTP/1.1, 304, 0.000288
127.0.0.1, 2011-10-30 02:42:03, GET, /w2cms/static/js/web2py_ajax.js, HTTP/1.1, 304, 0.001690
127.0.0.1, 2011-10-30 02:42:03, GET, /w2cms/static/js/anytime.js, HTTP/1.1, 304, 0.001365
127.0.0.1, 2011-10-30 02:42:03, GET, /w2cms/static/css/base.css, HTTP/1.1, 304, 0.000691
127.0.0.1, 2011-10-30 02:42:03, GET, /w2cms/static/images/poweredby.png, HTTP/1.1, 304, 0.000579
127.0.0.1, 2011-10-30 02:42:07, GET, /w2cms/appadmin/index, HTTP/1.1, 303, 0.023391
127.0.0.1, 2011-10-30 02:42:07, GET, /admin/default/index, HTTP/1.1, 200, 0.029006
127.0.0.1, 2011-10-30 02:42:09, POST, /admin/default/index, HTTP/1.1, 303, 0.030146
127.0.0.1, 2011-10-30 02:42:09, GET, /admin/default/site, HTTP/1.1, 200, 0.032149
127.0.0.1, 2011-10-30 02:42:10, POST, /admin/default/check_version, HTTP/1.1, 200, 0.636533
127.0.0.1, 2011-10-30 02:42:10, GET, /admin/default/twitter, HTTP/1.1, 200, 1.280164
127.0.0.1, 2011-10-30 02:42:13, GET, /w2cms/default/index, HTTP/1.1, 200, 0.026580
127.0.0.1, 2011-10-30 02:42:15, GET, /admin/default/site, HTTP/1.1, 200, 0.038464
127.0.0.1, 2011-10-30 02:42:16, GET, /admin/default/design/w2cms, HTTP/1.1, 200, 0.063924
127.0.0.1, 2011-10-30 02:42:16, GET, /admin/default/twitter, HTTP/1.1, 200, 1.279255
127.0.0.1, 2011-10-30 02:42:18, GET, /w2cms/appadmin/index, HTTP/1.1, 200, 0.042303
127.0.0.1, 2011-10-30 02:42:22, GET, /w2cms/appadmin/select/db, HTTP/1.1, 200, 0.045971
127.0.0.1, 2011-10-30 02:42:27, GET, /w2cms/appadmin/insert/db/node, HTTP/1.1, 200, 0.037282
127.0.0.1, 2011-10-30 02:42:56, POST, /w2cms/appadmin/insert/db/node, HTTP/1.1, 200, 0.029955
127.0.0.1, 2011-10-30 02:43:01, POST, /w2cms/appadmin/insert/db/node, HTTP/1.1, 200, 0.064057
127.0.0.1, 2011-10-30 02:43:03, GET, /w2cms/default/user/register, HTTP/1.1, 200, 0.017979
127.0.0.1, 2011-10-30 02:43:08, POST, /w2cms/appadmin/insert/db/node, HTTP/1.1, 200, 0.031082
127.0.0.1, 2011-10-30 02:43:09, GET, /w2cms/static/css/anytime.css, HTTP/1.1, 200, 0.000588
127.0.0.1, 2011-10-30 02:43:09, GET, /w2cms/static/js/modernizr-1.7.min.js, HTTP/1.1, 200, 0.001248
127.0.0.1, 2011-10-30 02:43:09, GET, /w2cms/static/css/handheld.css, HTTP/1.1, 200, 0.003366
127.0.0.1, 2011-10-30 02:43:09, GET, /w2cms/static/js/anytime.js, HTTP/1.1, 200, 0.000388
127.0.0.1, 2011-10-30 02:43:09, GET, /w2cms/static/js/superfish.js, HTTP/1.1, 200, 0.000387
